"","comID","yearG","sex","CAUSE","county","Ndeaths","YLL","m.YLL","mean.age","Level","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","comName","oDeaths","aRate","aLCI","aUCI","YLL.adj.rate"
"64","127","2011-2015","Total","0","Riverside",90,2226,24.74,69.3,"lev0",9753,4565,4376,4755,184.6,146.4,222.7,"Chiriaco Summit/Desert Center/Eagle Mountain",90,391.1,304.3,502.4,6791
"65","128","2011-2015","Total","0","Riverside",1946,52140,26.79,67.38,"lev0",104400,9991,9905,10080,372.9,356.3,389.5,"Arabia/Coachella/Desert Beach/Flowing Wells/Indio South/La Quinta East/Mecca/Oasis/Thermal",1946,555.1,529.7,581.4,12420
"66","129.1","2011-2015","Total","0","Riverside",5374,89330,16.62,78.91,"lev0",1e+05,17870,17750,17980,1075,1046,1104,"Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South",5374,549.3,533.4,565.6,11590
"67","129.2","2011-2015","Total","0","Riverside",2184,44140,20.21,74.69,"lev0",53650,16450,16300,16610,814.2,780,848.3,"Bermuda Dunes North/Indio North",2184,594.8,568.8,622,14190
"68","129.3","2011-2015","Total","0","Riverside",2038,37230,18.27,76.79,"lev0",29100,25590,25330,25850,1401,1340,1462,"Agua Caliente/Palm Springs Central",2038,622.1,591,655.6,15270
"69","129.4","2011-2015","Total","0","Riverside",6528,136700,20.94,73.87,"lev0",136300,20060,19950,20170,958.1,934.9,981.3,"Cathedral City Southeast/Palm Desert North/Palm Springs South/Rancho Mirage North",6528,713.8,696.3,731.7,16560
"70","130","2011-2015","Total","0","Riverside",586,14120,24.09,70.05,"lev0",11530,24490,24080,24890,1016,933.9,1098,"Idyllwild/Pine Cove",587,711.4,648.5,782.7,19380
"71","131a","2011-2015","Total","0","Riverside",3998,90440,22.62,71.97,"lev0",145300,12450,12370,12530,550.3,533.3,567.4,"Lake Elsinore/Murrieta West/Sedco Hills/Wildomar",3998,769.9,745.6,794.8,14990
"72","131b","2011-2015","Total","0","Riverside",3188,68790,21.58,73.22,"lev0",144100,9546,9475,9618,442.4,427.1,457.8,"French Valley/Murrieta East/Temecula/Winchester",3189,625.9,603.9,648.5,11640
"73","131c","2011-2015","Total","0","Riverside",1783,39800,22.32,72.38,"lev0",82760,9617,9522,9711,430.9,410.9,450.9,"Temecula South",1785,615.3,586.1,645.7,11510
"74","132","2011-2015","Total","0","Riverside",8605,172800,20.08,74.91,"lev0",141700,24390,24280,24510,1215,1189,1241,"East Hemet/Hemet/Valle Vista",8604,873,854,892.4,20670
"75","133.1","2011-2015","Total","0","Riverside",6313,132500,20.98,73.83,"lev0",176400,15020,14940,15100,715.9,698.2,733.6,"Canyon Lake/Perris/Quail Valley/Romoland/Sun City/Winchester",6313,732.1,714.1,750.5,15270
"76","133.2","2011-2015","Total","0","Riverside",1096,24330,22.2,72.35,"lev0",29660,16400,16200,16610,739,695.2,782.7,"Homeland/Lakeview/San Jacinto",1096,649.2,610.8,689.7,15360
"77","133.3","2011-2015","Total","0","Riverside",693,17650,25.46,68.77,"lev0",22760,15510,15280,15730,609,563.6,654.3,"Glen Valley/Mead Valley",693,745,689.1,804.5,16940
"78","134","2011-2015","Total","0","Riverside",5531,116400,21.06,73.7,"lev0",144300,16140,16050,16230,766.6,746.4,786.8,"Banning/Beaumont/Cabizon/Calimesa/Cherry Valley",5588,670.8,653.2,688.8,14760
"79","135a","2011-2015","Total","0","Riverside",2500,65130,26.05,68.1,"lev0",107500,12120,12030,12210,465.2,446.9,483.4,"Eastside/Fairmont Park/Riverside Downtown/Rubidoux/University",2501,797,764.9,830.2,17290
"80","135b","2011-2015","Total","0","Riverside",4423,101000,22.84,71.87,"lev0",166700,12130,12050,12200,530.8,515.2,546.4,"Edgemont/Orange Crest/Woodcrest",4424,676.4,656.3,697,13800
"81","135c","2011-2015","Total","0","Riverside",3114,68230,21.91,72.94,"lev0",88550,15410,15300,15530,703.3,678.6,728.1,"Casablanca/Riverside Central",3114,777.7,750.4,805.7,16810
"82","135d","2011-2015","Total","0","Riverside",2847,71500,25.12,69.26,"lev0",122600,11670,11580,11750,464.5,447.4,481.5,"Arlington/Corona East/Home Gardens/La Sierra/Riverside Southwest",2848,688.6,662.8,715.3,14910
"83","135e","2011-2015","Total","0","Riverside",4129,102300,24.79,69.46,"lev0",181900,11250,11180,11320,453.9,440,467.7,"Corona North/Glen Avon/Jurupa/Norco",4130,709.9,687.1,733.2,14180
"84","135f","2011-2015","Total","0","Riverside",3139,66610,21.22,73.59,"lev0",123100,10820,10740,10900,509.9,492.1,527.8,"Corona South/El Cerrito/Temescal",3139,653.7,630.5,677.5,12390
"85","135g","2011-2015","Total","0","Riverside",2103,55200,26.25,67.86,"lev0",91030,12130,12030,12230,462,442.3,481.8,"Moreno Valley",2103,696.5,665.8,728.3,15430
"86","136","2011-2015","Total","0","Sacramento",1215,26240,21.6,73.12,"lev0",36200,14500,14320,14670,671.3,633.6,709.1,"Clay/Galt/Herald/Wilton",1215,680.9,642.8,720.9,14010
"87","137","2011-2015","Total","0","Sacramento",268,5881,21.95,72.57,"lev0",5786,20330,19810,20850,926.4,815.5,1037,"Clarksburg/Hood/Isleton/Locke/Walnut Grove",276,661,582.6,750,16020
"88","138","2011-2015","Total","0","Sacramento",635,12290,19.36,75.92,"lev0",20610,11930,11720,12140,616.2,568.3,664.1,"Rancho Murieta/Sloughhouse",635,569.9,525.3,617.8,11350
"89","139a","2011-2015","Total","0","Sacramento",4857,124700,25.67,68.5,"lev0",191800,13000,12930,13080,506.6,492.3,520.8,"Elverta/Natomas/North Highlands/Rio Linda",4857,762.4,739.9,785.5,15860
"90","139b","2011-2015","Total","0","Sacramento",5017,90730,18.08,77.3,"lev0",91750,19780,19650,19910,1094,1063,1124,"Carmichael/Fair Oaks/Gold River",5017,732,711.2,753.4,15220
